Master PCN,Name,Final_Subdivision_Name,Unified_Group_Name,Source,Renamed
643472921,"ATRIUM CONDOMINIUM S 1/2 OF LT 1, ALL LTS 2,7 & 8 BLK 3 (LESS OR1787P1003)",ATRIUM CONDOMINIUM S 12,ATRIUM CONDOMINIUM S,Grouped,True
642470413,AVALON POINTE AT WOODFIELD COUNTRY CLUB,AVALON POINTE AT WOODFIELD,AVALON POINTE AT,Grouped,True
643471907,AVIS ACRES IN,AVIS ACRES IN,AVIS ACRES IN,Grouped,False
643470832,B & B CENTER COND DECL FILED 4-9-85 IN,B B CENTER COND,B B CENTER,Grouped,True
642470318,BACARA CONDOMINIUM,BACARA CONDOMINIUM,BACARA CONDOMINIUM,Grouped,False
642470319,BOCAR CONDOMINIUM,BACARA CONDOMINIUM,BACARA CONDOMINIUM,Grouped,True
643463346,BANANA PATCH,BANANA PATCH,BANANA PATCH,Simple,False
643463219,BANYAN COURTS COND I & II,BANYAN COURTS COND I,BANYAN COURTS COND,Grouped,True
643463227,BANYAN PARK COND DECL FILED 3-19-82,BANYAN PARK COND DECL,BANYAN PARK COND,Grouped,True
642470231,BANYANS PL 2,BANYANS PL 2,BANYANS 2,Grouped,True
642470221,BANYANS OF ARVIDA COUNTRY CLUB,BANYANS OF ARVIDA COUNTRY,BANYANS OF ARVIDA,Grouped,True
643463241,BAY COLONY ESTATES,BAY COLONY ESTATES,BAY COLONY ESTATES,Grouped,False
